id,sex,age_cat,race,decile_score,two_year_recid
1,Male,Greater than 45,Other,1,0
3,Male,25 - 45,African-American,3,1
4,Male,Less than 25,African-American,4,1
5,Male,Less than 25,African-American,8,0
6,Male,25 - 45,Other,1,0
7,Male,25 - 45,Other,1,0
8,Male,25 - 45,Caucasian,6,1
9,Male,25 - 45,Other,4,0
10,Female,25 - 45,Caucasian,1,0
13,Male,Less than 25,Caucasian,3,1
14,Male,25 - 45,Caucasian,4,0
15,Male,Less than 25,African-American,6,1
16,Female,25 - 45,Caucasian,1,0
18,Male,25 - 45,African-American,4,0
19,Female,Greater than 45,Caucasian,1,1
20,Male,25 - 45,African-American,3,1
21,Male,25 - 45,Hispanic,1,0
22,Male,25 - 45,African-American,10,0
23,Male,25 - 45,Caucasian,5,1
24,Male,25 - 45,Caucasian,3,1
25,Male,Greater than 45,African-American,6,1
26,Male,Less than 25,African-American,9,1
27,Male,25 - 45,Caucasian,2,1
28,Female,Less than 25,Caucasian,4,0
30,Male,Less than 25,Hispanic,4,1
32,Male,25 - 45,Caucasian,1,0
33,Male,25 - 45,Other,3,0
37,Male,25 - 45,African-American,3,1
38,Female,25 - 45,Caucasian,3,0
39,Male,25 - 45,African-American,7,1
40,Male,25 - 45,African-American,10,1
41,Male,25 - 45,Caucasian,9,1
42,Male,25 - 45,African-American,8,1
45,Male,Greater than 45,Caucasian,1,0
50,Male,Greater than 45,Other,3,1
51,Male,25 - 45,Caucasian,8,0
52,Female,25 - 45,Caucasian,5,1
53,Male,Less than 25,Caucasian,2,1
54,Male,25 - 45,African-American,9,1
55,Male,25 - 45,Caucasian,2,0
56,Female,Less than 25,African-American,8,0
57,Male,Greater than 45,African-American,1,0
59,Male,25 - 45,Caucasian,2,1
61,Female,Greater than 45,African-American,2,0
64,Male,25 - 45,African-American,7,1
66,Male,25 - 45,Caucasian,10,1
67,Male,25 - 45,African-American,8,1
68,Male,Greater than 45,Caucasian,1,0
69,Male,25 - 45,African-American,3,1
70,Male,25 - 45,African-American,4,0
71,Male,25 - 45,Caucasian,2,1
72,Female,25 - 45,Other,2,0
75,Male,Greater than 45,Caucasian,6,1
77,Female,Greater than 45,Hispanic,1,0
79,Male,25 - 45,African-American,5,0
80,Male,Less than 25,African-American,4,1
83,Male,25 - 45,Hispanic,7,0
84,Male,Greater than 45,African-American,1,0
85,Male,Greater than 45,Caucasian,5,0
87,Male,25 - 45,African-American,3,0
88,Male,Greater than 45,African-American,7,1
90,Male,25 - 45,African-American,10,1
91,Male,25 - 45,Caucasian,2,1
93,Male,Less than 25,African-American,4,1
95,Male,Less than 25,African-American,10,1
96,Male,25 - 45,African-American,9,1
97,Male,Greater than 45,Hispanic,1,0
98,Male,25 - 45,African-American,6,1
99,Male,25 - 45,Other,1,0
100,Female,Greater than 45,African-American,1,0
101,Male,Greater than 45,Hispanic,1,1
102,Male,Less than 25,Hispanic,4,0
105,Male,25 - 45,African-American,4,0
107,Male,25 - 45,African-American,6,1
108,Male,25 - 45,Caucasian,6,1
111,Male,25 - 45,African-American,2,0
113,Male,Less than 25,African-American,3,1
114,Male,Less than 25,Caucasian,8,0
115,Female,25 - 45,African-American,4,1
116,Male,25 - 45,Caucasian,7,1
119,Male,25 - 45,African-American,2,0
120,Male,25 - 45,African-American,2,0
122,Male,25 - 45,African-American,10,1
127,Male,Greater than 45,Other,1,1
128,Male,25 - 45,African-American,10,1
130,Male,Less than 25,Other,5,1
131,Male,Less than 25,African-American,9,1
