consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
307.0,E,75.0,F,1948,194.0,2.0,4.82,9.33,11.23,115.0,88.0,210.0,2.3993455,47.0925072,Vente,Maison
416.0,F,29.0,D,1978,68.0,1.0,0.0,7.28,0.95,0.0,68.0,101.5,3.298055,49.8404533,Location,Logements collectifs
237.58,E,71.27,F,1948,90.0,3.0,4.17,0.03,9.1,90.0,58.0,0.0,3.502297,44.520861,Vente,Maison
202.18,D,60.65,F,1948,105.3,1.0,4.08,3.57,7.38,105.3,105.3,0.0,3.50005,44.518311,Vente,Appartement
473.0,G,29.0,D,1948,85.0,2.0,0.0,9.87,0.0,54.0,42.0,136.36,3.2080918,45.6218562,Vente,Maison
90.36,B,27.11,D,2009,124.0,1.0,0.25,10.48,8.45,124.0,124.0,0.0,3.177491,44.30669,Vente,Maison
279.0,E,80.0,F,1948,148.92,2.0,0.0,19.3,0.0,74.46,74.46,97.94,3.276949,44.802935,Vente,Maison
462.0,G,27.0,D,1948,75.0,1.0,5.04,0.0,7.04,75.0,75.0,92.0,3.5951225,44.3246561,Vente,Appartement
709.0,G,194.0,G,1948,60.55,1.0,1.11,3.0,6.0,60.55,60.55,100.83,0.4032326,44.1216572,Vente,Appartement
723.09,G,41.07,E,2013,21.0,1.0,0.0,1.6,0.0,21.0,21.0,46.2,3.469753,44.526786,Location,Appartement
542.38,G,29.97,D,1981,29.62,1.0,0.0,6.79,0.0,29.62,29.62,54.0,3.502546,44.514784,Vente,Appartement
640.34,G,36.98,E,1995,31.0,1.0,0.0,5.92,0.0,31.0,31.0,54.05,3.502521,44.519107,Location,Appartement
422.0,F,26.0,D,1948,110.0,3.0,0.0,19.77,0.0,38.0,36.0,80.0,3.28054,44.803509,Vente,Maison
195.0,D,48.0,E,1948,157.0,2.0,0.0,18.2,19.9,78.5,78.5,163.0,3.5873646,44.3370114,Vente,Maison
256.0,E,50.0,E,1947,67.67,2.0,0.0,5.96,4.97,29.52,30.27,80.41,3.145836,44.438195,Vente,Maison
318.0,E,74.0,F,1989,61.0,1.0,0.36,2.04,7.08,61.0,61.0,80.0,3.193196,44.707482,Vente,Maison
556.0,G,36.0,E,1948,159.0,3.0,5.24,6.95,7.5,53.0,56.3,263.0,3.699468,44.400183,Vente,Maison
352.0,F,24.0,D,1978,106.0,2.0,3.44,4.02,7.48,52.0,53.0,143.0,3.699468,44.400183,Vente,Maison
246.0,E,58.0,F,1983,85.24,2.0,0.0,11.49,0.0,49.71,49.71,86.93,3.548758,44.535075,Location,Maison
532.0,G,31.0,D,1974,31.77,2.0,0.0,6.98,0.0,35.58,31.77,62.44,3.919044,44.436994,Vente,Maison
350.0,F,21.0,D,1978,100.97,1.0,2.87,1.62,7.34,100.97,100.97,78.21,3.543776,44.534411,Vente,Maison
214.83,D,10.21,B,1983,140.0,1.0,2.4,10.22,10.48,95.0,143.0,107.0,3.261542,44.521338,Vente,Maison
370.78,F,111.23,G,1969,127.0,2.0,6.43,1.63,24.95,154.0,70.0,130.2,3.504241,44.518315,Vente,Maison
269.09,E,15.76,C,1980,160.0,3.0,1.58,3.57,16.66,160.0,80.0,276.3,3.491742,44.518421,Vente,Maison
383.0,F,23.0,D,1948,58.0,2.0,0.0,0.81,9.12,31.0,31.0,104.0,3.548648,44.536145,Vente,Maison
418.19,F,19.61,C,1986,56.0,2.0,0.0,10.94,0.0,56.0,28.0,117.0,3.612554,44.569642,Vente,Maison
301.44,E,15.98,C,1988,72.0,1.0,6.0,0.0,3.0,72.0,72.0,102.7,3.481227,44.52502,Vente,Appartement
488.0,G,72.0,F,1948,114.0,2.0,5.37,0.0,0.0,57.0,57.0,180.0,3.566865,44.542113,Vente,Maison
679.0,G,47.0,E,1978,91.0,1.0,19.44,0.0,3.96,91.0,91.0,120.0,3.201114,44.43673,Location,Maison
481.04,G,144.31,G,1960,90.0,1.0,2.63,11.44,10.48,90.0,90.0,78.0,3.281578,44.545943,Vente,Maison
485.0,G,145.0,G,1948,106.0,1.0,0.42,6.96,5.22,106.0,106.0,98.0,3.535547,44.371691,Vente,Maison
221.0,D,66.0,F,1948,103.0,1.0,3.52,6.08,5.28,103.0,103.0,119.0,3.22746,44.586073,Vente,Appartement
229.45,D,8.57,B,1949,33.0,1.0,0.8,3.96,1.12,33.0,33.0,29.0,3.290749,44.552351,Vente,Appartement
227.52,D,8.55,B,1949,34.0,1.0,0.98,3.52,0.5,34.0,34.0,30.0,3.290749,44.552351,Vente,Appartement
280.85,E,11.19,C,1949,26.0,1.0,0.0,0.0,2.8,26.0,26.0,10.0,3.290749,44.552351,Vente,Appartement
247.0,E,9.91,B,1949,34.0,1.0,1.5,3.96,0.8,34.0,34.0,30.0,3.290749,44.552351,Vente,Appartement
286.42,E,11.88,C,1949,28.0,1.0,0.0,2.47,0.0,28.0,28.0,10.0,3.290749,44.552351,Vente,Appartement
309.17,E,14.97,C,1949,41.0,1.0,0.0,0.0,2.64,41.0,41.0,30.0,3.290749,44.552351,Vente,Appartement
513.06,G,29.93,D,1949,50.0,1.0,0.8,0.0,4.4,50.0,50.0,40.0,3.290999,44.552166,Vente,Appartement
905.0,G,12.0,C,1948,46.55,1.0,3.97,0.0,4.36,46.55,46.55,78.84,3.346431,44.467436,Vente,Maison
405.0,F,111.0,G,1948,120.0,2.0,0.0,2.33,9.3,64.0,45.0,174.0,3.247547,44.882016,Vente,Maison
418.0,F,114.0,G,1948,90.0,2.0,0.0,2.33,9.3,45.0,45.0,149.0,3.247547,44.882016,Vente,Maison
127.47,C,38.24,E,1948,54.75,1.0,0.0,5.53,0.0,54.75,54.75,90.0,3.275629,44.802897,Location,Appartement
138.66,C,41.6,E,1994,72.0,1.0,2.36,1.56,4.64,72.0,72.0,65.0,3.241164,44.241081,Vente,Maison
