consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
336.0,F,18.0,C,1978,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Maison
657.0,G,41.0,E,1975,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Appartement
0.0,N,0.0,N,1947,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
509.0,G,136.0,G,1948,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
484.0,G,145.0,G,1978,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2504983,46.2844516,Vente,Maison
0.0,N,0.0,N,1947,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
521.0,G,156.0,G,1948,285.0,3.0,13.33,0.48,15.2,120.0,110.0,295.2,,,Vente,Maison
165.0,D,5.0,A,2012,110.67,1.0,3.51,8.18,3.68,110.67,147.91,119.94,,,Vente,Maison
0.0,N,0.0,N,1947,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
307.0,E,75.0,F,1948,194.0,2.0,4.82,9.33,11.23,115.0,88.0,210.0,2.3993455,47.0925072,Vente,Maison
0.0,N,0.0,N,1947,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5975224,46.605663,Vente,Maison
0.0,N,0.0,N,1947,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
416.0,F,29.0,D,1978,68.0,1.0,0.0,7.28,0.95,0.0,68.0,101.5,3.298055,49.8404533,Location,Logements collectifs
0.0,N,0.0,N,1947,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,29.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Appartement
0.0,N,0.0,N,1947,29.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Appartement
0.0,N,0.0,N,1947,32.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Appartement
0.0,N,0.0,N,1947,26.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Appartement
0.0,N,0.0,N,1947,80.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
385.0,F,16.0,C,1948,65.0,1.0,0.0,3.51,0.0,45.0,48.0,69.0,,,Vente,Maison
153.44,D,32.82,D,1995,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28564,44.806692,Vente,Maison
402.11,F,14.44,C,1983,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
526.2,G,126.91,G,1974,165.0,,,,,,,,3.846013,44.723877,Vente,Maison
326.0,E,13.0,C,2001,64.0,1.0,2.81,6.2,1.75,64.0,64.0,89.0,,,Vente,Maison
0.0,N,0.0,N,1947,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,70.0,1.0,0.0,0.0,0.0,70.0,70.0,0.0,,,Vente,Maison
231.0,E,69.0,F,1989,140.0,1.0,0.0,8.59,6.9,120.0,186.0,172.0,,,Vente,Maison
0.0,N,0.0,N,1947,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Appartement
597.35,G,11.78,C,1963,92.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.270686,44.798054,Vente,Maison
124.0,C,4.0,A,1947,154.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
